exercise;adductor_brevis;adductor_longus;adductor_magnus;back_general;brachialis;brachioradialis;coracobrachialis;erector_spinae;extensor_carpi_radialis;flexor_carpi_radialis;gastrocnemius;gluteus_maximus;gracilis;iliopsoas;infraspinatus;latissimus_dorsi;levator_scapulae;oblique;pectineus;popliteus;quadriceps;rectus_abdominis;rectus_femoris;rhomboids;sartorius;soleus;supraspinatus;tensor_fasciae_latae;tibialis_anterior;wrist_extensors;wrist_flexors;biceps_brachi;triceps_brachi;deltoid;trapecius;hamstrings;serratus_anterior;pectoralis_major
barbell_squat;;;0.30;;;;;0.15;;;0.15;0.30;;;;;;0.15;;;1.00;0.15;;;;0.30;;;;;;;;;;0.15;;
barbell_deadlift;;;0.30;;;;;0.15;;;0.15;1.00;;;;;0.15;0.15;;;0.30;0.15;;0.15;;0.30;;;;;;;;;0.15;0.30;;
leg_press;;;0.30;;;;;;;;0.15;0.30;;;;;;;;;1.00;;;;;0.30;;;;;;;;;;0.15;;
lever_seated_leg_curl;;;;;;;;;;;0.30;;0.30;;;;;;;0.30;;;;;0.30;;;;0.15;;;;;;;1.00;;
barbell_standing_calf_raise;;;;;;;;;;;1.00;;;;;;;;;;;;;;;0.30;;;;;;;;;;;;
weight_incline_sit-up;;;;;;;;;;;;;;0.30;;;;0.30;;;;1.00;0.30;;0.30;;;0.30;0.15;;;;;;;;;
barbell_bent-over_row;;;0.15;1.00;0.30;0.30;;0.15;;;;0.15;;;0.30;0.30;;0.15;;;0.15;0.15;;0.30;;;;;;;;0.15;0.15;0.30;0.30;0.15;;0.30
dumbbell_bent-over_row;;;0.15;1.00;0.30;0.30;;0.15;;;;0.15;;;0.30;0.30;;0.15;;;0.15;0.15;;0.30;;;;;;;;0.15;0.15;0.30;0.30;0.15;;
lever_neutral_grip_incline_row;;;;1.00;0.30;0.30;;;;;;;;;0.30;0.30;;;;;;;;0.30;;;;;;;;0.15;0.15;0.30;0.30;;;0.30
assisted_chin-up;;;;;0.30;0.30;;;;;;;;;;1.00;0.30;;;;;;;0.30;;;;;;;;0.15;0.15;0.30;0.30;;;0.30
cable_pulldown;;;;;0.30;0.30;0.30;;;;;;;;0.30;1.00;0.30;;;;;;;0.30;;;;;;;;0.30;0.15;0.30;0.30;;;
barbell_bench_press;;;;;;;0.30;;;;;;;;;;;;;;;;;;;;;;;;;0.15;0.30;0.30;;;;1.00
overhead_barbell_press;;;;;;;0.30;;;;;;;;;;0.15;;;;;;;;;;;;;;;0.15;0.30;1.00;0.30;;0.30;0.30
dumbbell_lateral_raise;;;;;;;;;;;;;;;;;0.15;;;;;;;;;;0.30;;;0.15;;;;1.00;0.30;;0.30;
dumbbell_hammer_curl;;;;;0.30;1.00;0.15;;0.15;0.15;;;;;;;0.15;;;;;;;;;;;;;;;0.30;;0.15;0.15;;;
weighted_vertical_leg_raise;0.30;0.30;;;;;0.15;;;;;;;1.00;;0.15;;0.15;0.30;;;0.15;0.15;;0.30;;;0.30;;;;;;;0.15;;;
sit-up;;;;;;;;;;;;;;0.30;;;;0.30;;;;1.00;0.30;;0.30;;;0.30;0.15;;;;;;;;;
dumbbell_incline_press;;;;;;;0.30;;;;;;;;;;;;;;;;;;;;;;;;;0.15;0.30;0.30;;;;1.00
dumbbell_bench_press;;;;;;;0.30;;;;;;;;;;;;;;;;;;;;;;;;;0.15;0.30;0.30;;;;1.00
barbell_hip_thrust;;;;;;;;0.15;;;;1.00;;;;;;0.15;;;0.30;0.15;;;;;;;;;;;;;;0.15;;
lever_seated_fly;;;;;0.15;;0.30;;;;;;;;;;;;;;;;;;;;;;;;0.15;0.30;;0.30;;;0.30;1.00
